Key,Type,Desc,Plural,Group,Descriptions,English [en-US],French [fr-FR],German [de-DE],Russian,Portuguese (Brazil),Chinese [zh-CN]
,,,,,,,,,,,
,,,,,,,,,,,
Beyonder_Champ_Name,Text,,,,,Loco Motive,Loco Motive,Loco Motive,Loco Motive,Loco Motive,Loco Motive
Beyonder_Clan_Name,Text,,,,,Beyonder,Beyonder,Beyonder,Beyonder,Beyonder,Beyonder
Beyonder_Exile_Name,Text,,,,,Epidemial,Epidemial,Epidemial,Epidemial,Epidemial,Epidemial
Beyonder_Clan_desc,Text,,,,,"Through the cracks of a crumbling reality seep the terrifying and maddening Beyonders who join the conflict for the sheer pleasure of pure chaos.","Through the cracks of a crumbling reality seep the terrifying and maddening Beyonders who join the conflict for the sheer pleasure of pure chaos.","Through the cracks of a crumbling reality seep the terrifying and maddening Beyonders who join the conflict for the sheer pleasure of pure chaos.","Through the cracks of a crumbling reality seep the terrifying and maddening Beyonders who join the conflict for the sheer pleasure of pure chaos.","Through the cracks of a crumbling reality seep the terrifying and maddening Beyonders who join the conflict for the sheer pleasure of pure chaos.","Through the cracks of a crumbling reality seep the terrifying and maddening Beyonders who join the conflict for the sheer pleasure of pure chaos."
Beyonder_Clan_subdesc,Text,,,,,"Abandon your sanity and ally yourself with the madness of the Beyonders.","Abandon your sanity and ally yourself with the madness of the Beyonders.","Abandon your sanity and ally yourself with the madness of the Beyonders.","Abandon your sanity and ally yourself with the madness of the Beyonders.","Abandon your sanity and ally yourself with the madness of the Beyonders.","Abandon your sanity and ally yourself with the madness of the Beyonders."
name_beyonder_banner,Text,,,,,Beyonder Banner,Beyonder Banner,Beyonder Banner,Beyonder Banner,Beyonder Banner,Beyonder Banner
desc_beyonder_banner,Text,,,,,Gain a Beyonder unit.,Gain a Beyonder unit.,Gain a Beyonder unit.,Gain a Beyonder unit.,Gain a Beyonder unit.,Gain a Beyonder unit.
,,,,,,,,,,,
,,,,,,,,,,,
Beyonder_Mechanic_Mania_TooltipKey,Text,,,,,"Mania","Mania","Mania","Mania","Mania","Mania"
Beyonder_Mechanic_Mania_TooltipText,Text,,,,,"A measure of your (lack of) sanity. Mania effects ALL floors. Resets to 0 each turn.","A measure of your (lack of) sanity. Mania effects ALL floors. Resets to 0 each turn.","A measure of your (lack of) sanity. Mania effects ALL floors. Resets to 0 each turn.","A measure of your (lack of) sanity. Mania effects ALL floors. Resets to 0 each turn.","A measure of your (lack of) sanity. Mania effects ALL floors. Resets to 0 each turn.","A measure of your (lack of) sanity. Mania effects ALL floors. Resets to 0 each turn."
Beyonder_Mechanic_Manic_TooltipKey,Text,,,,,"Manic","Manic","Manic","Manic","Manic","Manic"
Beyonder_Mechanic_Manic_TooltipText,Text,,,,,"<b>Manic</b> cards adjust <b>Mania</b> when played.","<b>Manic</b> cards adjust <b>Mania</b> when played.","<b>Manic</b> cards adjust <b>Mania</b> when played.","<b>Manic</b> cards adjust <b>Mania</b> when played.","<b>Manic</b> cards adjust <b>Mania</b> when played.","<b>Manic</b> cards adjust <b>Mania</b> when played."
Beyonder_Mechanic_Manic_Tips_TooltipKey,Text,,,,,"Manic","Manic","Manic","Manic","Manic","Manic"
